"description","regex"
"Test whether the input is a string that ends with the word 'config'.","^.*config$"
"Match a string of exactly three word characters.","^\w{3}$"
"Match a string that ends with the word 'email'.","^.*email$"
"Test whether the input is a string of word characters that does not start with the word 'Cache', using a negative lookahead.","^(?!Cache)\w+$"
"Check if the input is a string of between two and six letters.","^[A-Za-z]{2,6}$"
"Validate a string where the substring 'year' is immediately followed by a three-digit id.","^.*year\d{3}.*$"
"Check if the input is a string containing the standalone whole word 'state'.","^.*\bstate\b.*$"
"Search for a string of exactly five hexadecimal digits.","^[0-9A-Fa-f]{5}$"
"Match a string of exactly ten hexadecimal digits.","^[0-9A-Fa-f]{10}$"
"Test whether the input is a string made of four lowercase letters followed by four digits.","^[a-z]{4}[0-9]{4}$"
"Find a string of exactly three vowels.","^[aeiou]{3}$"
"Match a string made of two lowercase letters followed by two digits.","^[a-z]{2}[0-9]{2}$"
"Detect a string that is exactly the word 'minute'.","^minute$"
"Search for a string where the substring 'stack' is immediately followed by a four-digit id.","^.*stack\d{4}.*$"
"Search for a string where one or more digits come immediately before the word 'country'.","^.*\d+country.*$"
"Extract a string of four letters and three digits separated by a colon.","^[A-Za-z]{4}:[0-9]{3}$"
"Capture a string of two letters and two digits separated by a hyphen.","^[A-Za-z]{2}-[0-9]{2}$"
"Check if the input is a string where one or more digits come immediately before the word 'report'.","^.*\d+report.*$"
"Find a string containing the same digit repeated five times in a row.","^.*(\d)\1{4}.*$"
"Check if the input is a string where the word 'login' is followed by one or more digits.","^.*login\d+.*$"
"Test whether the input is a string where the substring 'login' is immediately followed by a four-digit id.","^.*login\d{4}.*$"
"Match a string that is exactly the word 'graph'.","^graph$"
"Match a string where the substring 'user' is immediately followed by a three-digit id.","^.*user\d{3}.*$"
"Validate a string made of two uppercase letters followed by three digits.","^[A-Z]{2}[0-9]{3}$"
"Validate a string of at least three digits.","^[0-9]{3,}$"
"Match a string of four letters and three digits separated by a dot.","^[A-Za-z]{4}\.[0-9]{3}$"
"Capture a string of three letters and two digits separated by a colon.","^[A-Za-z]{3}:[0-9]{2}$"
"Capture a string where the substring 'node' is immediately followed by a six-digit id.","^.*node\d{6}.*$"
"Validate a string of four letters and four digits separated by a hyphen.","^[A-Za-z]{4}-[0-9]{4}$"
"Search for a string where the substring 'price' is immediately followed by a six-digit id.","^.*price\d{6}.*$"
"Capture a string of between two and six digits.","^[0-9]{2,6}$"
"Check if the input is a string where the substring 'item' is immediately followed by a two-digit id.","^.*item\d{2}.*$"
"Identify a string that ends with the word 'item'.","^.*item$"
"Match a string of word characters that does not start with the word 'Temp', using a negative lookahead.","^(?!Temp)\w+$"
"Match a string where the substring 'code' is immediately followed by a five-digit id.","^.*code\d{5}.*$"
"Detect a string of exactly five word characters.","^\w{5}$"
"Detect a string of exactly ten word characters.","^\w{10}$"
"Identify a string containing the standalone whole word 'data'.","^.*\bdata\b.*$"
"Find a string containing the standalone whole word 'login'.","^.*\blogin\b.*$"
"Detect a string of between five and ten whitespace characters.","^\s{5,10}$"
"Identify a string where the substring 'token' is immediately followed by a three-digit id.","^.*token\d{3}.*$"
"Detect a string where the substring 'state' is immediately followed by a five-digit id.","^.*state\d{5}.*$"
"Match a string where the substring 'amount' is immediately followed by a four-digit id.","^.*amount\d{4}.*$"
"Capture a string of exactly two digits.","^[0-9]{2}$"
"Extract a string where the substring 'month' is immediately followed by a two-digit id.","^.*month\d{2}.*$"
"Match a string containing the substring 'hour'.","^.*hour.*$"
"Search for a string where the substring 'cache' is immediately followed by a four-digit id.","^.*cache\d{4}.*$"
"Detect a string where the substring 'order' is immediately followed by a six-digit id.","^.*order\d{6}.*$"
"Match a string of between two and four letters.","^[A-Za-z]{2,4}$"
"Match a string where the substring 'graph' is immediately followed by a two-digit id.","^.*graph\d{2}.*$"
"Test whether the input is a string of two lowercase letters and three digits separated by a dot.","^[a-z]{2}\.[0-9]{3}$"
"Match a string containing the standalone whole word 'minute'.","^.*\bminute\b.*$"
"Detect a string where the substring 'item' is immediately followed by a two-digit id.","^.*item\d{2}.*$"
"Capture a string containing the standalone whole word 'user'.","^.*\buser\b.*$"
"Identify a string of four uppercase letters and two digits separated by a hyphen.","^[A-Z]{4}-[0-9]{2}$"
"Identify a string containing the substring 'stack'.","^.*stack.*$"
"Test whether the input is a string that ends with the word 'level'.","^.*level$"
"Match a string of three uppercase letters and two digits separated by a slash.","^[A-Z]{3}/[0-9]{2}$"
"Match a string of four lowercase letters and three digits separated by a slash.","^[a-z]{4}/[0-9]{3}$"
"Detect a string of at least eight digits.","^[0-9]{8,}$"
"Check if the input is a string containing the standalone whole word 'status'.","^.*\bstatus\b.*$"
"Check if the input is a string where the substring 'user' is immediately followed by a six-digit id.","^.*user\d{6}.*$"
"Search for a string of exactly two lowercase letters.","^[a-z]{2}$"
"Test whether the input is a string of three lowercase letters and four digits separated by a hyphen.","^[a-z]{3}-[0-9]{4}$"
"Validate a string made of one lowercase letter followed by one digit.","^[a-z]{1}[0-9]{1}$"
"Check if the input is a two-decimal amount that follows an equals sign, using a positive lookbehind.","(?<==)\d+\.\d{2}"
"Match a string of exactly two digits.","^[0-9]{2}$"
"Validate a string where the substring 'account' is immediately followed by a six-digit id.","^.*account\d{6}.*$"
"Match a string where the substring 'minute' is immediately followed by a four-digit id.","^.*minute\d{4}.*$"
"Match a string where the substring 'email' is immediately followed by a six-digit id.","^.*email\d{6}.*$"
"Detect a string where the substring 'login' is immediately followed by a six-digit id.","^.*login\d{6}.*$"
"Identify a string where the substring 'state' is immediately followed by a four-digit id.","^.*state\d{4}.*$"
"Validate a string made of one uppercase letter followed by three lowercase letters.","^[A-Z]{1}[a-z]{3}$"
"Extract a string that starts with the word 'temp'.","^temp.*$"
"Check if the input is a string made of three uppercase letters followed by three lowercase letters.","^[A-Z]{3}[a-z]{3}$"
"Validate a string of one or more word characters.","^\w+$"
"Check if the input is a string that ends with the word 'error'.","^.*error$"
"Validate a string of three lowercase letters and three digits separated by a underscore.","^[a-z]{3}_[0-9]{3}$"
"Capture a string made of three lowercase letters followed by two digits.","^[a-z]{3}[0-9]{2}$"
"Detect a string containing the standalone whole word 'day'.","^.*\bday\b.*$"
"Extract a string of exactly four digits.","^[0-9]{4}$"
"Identify a string where the substring 'invoice' is immediately followed by a four-digit id.","^.*invoice\d{4}.*$"
"a hex literal that starts with 0x","^0x[0-9A-Fa-f]+$"
"Find a string that starts with the word 'token'.","^token.*$"
"Check if the input is a string of three lowercase letters and two digits separated by a colon.","^[a-z]{3}:[0-9]{2}$"
"Capture a string of exactly four uppercase letters.","^[A-Z]{4}$"
"Capture a string of between two and four uppercase letters.","^[A-Z]{2,4}$"
"Capture a string where the substring 'item' is immediately followed by a four-digit id.","^.*item\d{4}.*$"
"Find a string where the substring 'email' is immediately followed by a five-digit id.","^.*email\d{5}.*$"
"Match a string containing the standalone whole word 'time'.","^.*\btime\b.*$"
"Identify a string that is exactly the word 'batch'.","^batch$"
"Search for a string containing the standalone whole word 'date'.","^.*\bdate\b.*$"
"Capture a string of three uppercase letters and three digits separated by a colon.","^[A-Z]{3}:[0-9]{3}$"
"Capture a string where the substring 'profile' is immediately followed by a six-digit id.","^.*profile\d{6}.*$"
"Identify a string where the substring 'batch' is immediately followed by a four-digit id.","^.*batch\d{4}.*$"
"Validate a string of zero or more hexadecimal digits.","^[0-9A-Fa-f]*$"
"Detect a string where the substring 'beta' is immediately followed by a six-digit id.","^.*beta\d{6}.*$"
"Check if the input is a string of between four and eight lowercase letters.","^[a-z]{4,8}$"
"Validate a string of between two and six word characters.","^\w{2,6}$"
"Capture a string where the substring 'country' is immediately followed by a five-digit id.","^.*country\d{5}.*$"
"Detect a string that ends with the word 'phone'.","^.*phone$"
"Extract a string of between two and four alphanumeric characters.","^[A-Za-z0-9]{2,4}$"
"Match a string of between three and five digits.","^[0-9]{3,5}$"
"Detect a string of exactly four whitespace characters.","^\s{4}$"
"Capture a string containing the standalone whole word 'session'.","^.*\bsession\b.*$"
"Validate a string containing the substring 'day'.","^.*day.*$"
"Identify a string where one or more digits come immediately before the word 'admin'.","^.*\d+admin.*$"
"Find a string where one or more digits come immediately before the word 'temp'.","^.*\d+temp.*$"
"Identify a string where the substring 'profile' is immediately followed by a four-digit id.","^.*profile\d{4}.*$"
"Search for a string that starts with the word 'token'.","^token.*$"
"Capture a string of three lowercase letters and four digits separated by a dot.","^[a-z]{3}\.[0-9]{4}$"
"Extract a string of three lowercase letters and four digits separated by a hyphen.","^[a-z]{3}-[0-9]{4}$"
"Match a string where the word 'batch' is followed by one or more digits.","^.*batch\d+.*$"
"Test whether the input is a string that is exactly the word 'user'.","^user$"
"Match a string made of one uppercase letter followed by one digit.","^[A-Z]{1}[0-9]{1}$"
"Capture a string where the substring 'price' is immediately followed by a five-digit id.","^.*price\d{5}.*$"
"Extract a string where the substring 'level' is immediately followed by a six-digit id.","^.*level\d{6}.*$"
"Identify a string that starts with the word 'level'.","^level.*$"
"Identify a string where the word 'user' is followed by one or more digits.","^.*user\d+.*$"
"Test whether the input is a string of three letters and four digits separated by a colon.","^[A-Za-z]{3}:[0-9]{4}$"
"Validate a string of at least two digits.","^[0-9]{2,}$"
"Check if the input is a string where one or more digits come immediately before the word 'token'.","^.*\d+token.*$"
"Search for a string of two uppercase letters and three digits separated by a slash.","^[A-Z]{2}/[0-9]{3}$"
"Search for a string made of four letters followed by two digits.","^[A-Za-z]{4}[0-9]{2}$"
"Detect a string of exactly eight whitespace characters.","^\s{8}$"
"Validate a string that starts with the word 'phone'.","^phone.*$"
"Capture a string containing the same letter repeated three times in a row.","^.*([A-Za-z])\1{2}.*$"
"Capture a string of word characters that does not start with the word 'Order', using a negative lookahead.","^(?!Order)\w+$"
"Check if the input is a string of one or more hexadecimal digits.","^[0-9A-Fa-f]+$"
"Identify a string where the substring 'graph' is immediately followed by a five-digit id.","^.*graph\d{5}.*$"
"Match the run of digits that appears right after a dollar sign, using a positive lookbehind.","(?<=\$)\d+"
"Match a string of four lowercase letters and four digits separated by a slash.","^[a-z]{4}/[0-9]{4}$"
"Find a string of two letters and three digits separated by a hyphen.","^[A-Za-z]{2}-[0-9]{3}$"
"Find a string of exactly eight word characters.","^\w{8}$"
"Detect a string of three letters and four digits separated by a slash.","^[A-Za-z]{3}/[0-9]{4}$"
"Search for the run of digits that appears right after a colon, using a positive lookbehind.","(?<=:)\d+"
"Find a string that is exactly the word 'stack'.","^stack$"
"Check if the input is a string of four lowercase letters and four digits separated by a colon.","^[a-z]{4}:[0-9]{4}$"
"Extract a string where the substring 'report' is immediately followed by a five-digit id.","^.*report\d{5}.*$"
"Search for a string containing the substring 'phone'.","^.*phone.*$"
"Match a string where one or more digits come immediately before the word 'batch'.","^.*\d+batch.*$"
"Identify a string that is exactly the word 'stack'.","^stack$"
"Extract a string containing the substring 'account'.","^.*account.*$"
"Search for a string where the substring 'user' is immediately followed by a two-digit id.","^.*user\d{2}.*$"
"Validate a string where the word 'state' is followed by one or more digits.","^.*state\d+.*$"
"Test whether the input is a string that ends with the word 'alpha'.","^.*alpha$"
"Match a string where the word 'level' is followed by one or more digits.","^.*level\d+.*$"
"Find a string of exactly twelve lowercase letters.","^[a-z]{12}$"
"Check if the input is a string where the substring 'cache' is immediately followed by a two-digit id.","^.*cache\d{2}.*$"
"Check if the input is a string where the substring 'edge' is immediately followed by a three-digit id.","^.*edge\d{3}.*$"
"Find a string that is exactly the word 'city'.","^city$"
"Detect a string of four lowercase letters and four digits separated by a dot.","^[a-z]{4}\.[0-9]{4}$"
"Extract a string of one or more uppercase letters.","^[A-Z]+$"
"Detect a string where the substring 'login' is immediately followed by a four-digit id.","^.*login\d{4}.*$"
"Match a string of four uppercase letters and four digits separated by a hyphen.","^[A-Z]{4}-[0-9]{4}$"
"Detect a string where the word 'stack' is followed by one or more digits.","^.*stack\d+.*$"
"Find a string made of one uppercase letter followed by three lowercase letters.","^[A-Z]{1}[a-z]{3}$"
"Find a string where the word 'queue' is followed by one or more digits.","^.*queue\d+.*$"
"Extract a string containing the standalone whole word 'email'.","^.*\bemail\b.*$"
"Search for a string where the substring 'beta' is immediately followed by a five-digit id.","^.*beta\d{5}.*$"
"Detect a string of exactly three special characters.","^[!@#$%^&*]{3}$"
"Check if the input is a two-decimal amount that follows a hash sign, using a positive lookbehind.","(?<=#)\d+\.\d{2}"
"Detect a string where the substring 'gamma' is immediately followed by a two-digit id.","^.*gamma\d{2}.*$"
"Identify a string containing the substring 'item'.","^.*item.*$"
"Capture a string where the substring 'flag' is immediately followed by a six-digit id.","^.*flag\d{6}.*$"
"Validate a string of four letters and three digits separated by a slash.","^[A-Za-z]{4}/[0-9]{3}$"
"Match a string where one or more digits come immediately before the word 'account'.","^.*\d+account.*$"
"Capture a string of one or more whitespace characters.","^\s+$"
"Search for a string made of three letters followed by four digits.","^[A-Za-z]{3}[0-9]{4}$"
"Capture a string of exactly three uppercase letters.","^[A-Z]{3}$"
"Find a string of exactly six digits.","^[0-9]{6}$"
"Test whether the input is a string of four lowercase letters and two digits separated by a colon.","^[a-z]{4}:[0-9]{2}$"
"Find a string where the substring 'day' is immediately followed by a three-digit id.","^.*day\d{3}.*$"
"Validate a string containing the same character repeated two times in a row.","^.*(\w)\1{1}.*$"
"Extract a string of exactly four whitespace characters.","^\s{4}$"
"Search for a string where the substring 'queue' is immediately followed by a six-digit id.","^.*queue\d{6}.*$"
"Check if the input is a string containing the substring 'data'.","^.*data.*$"
"Check if the input is a string that ends with the word 'session'.","^.*session$"
"Check if the input is a string where the substring 'user' is immediately followed by a two-digit id.","^.*user\d{2}.*$"
"Detect a string containing the standalone whole word 'session'.","^.*\bsession\b.*$"
"Match a string where the substring 'date' is immediately followed by a four-digit id.","^.*date\d{4}.*$"
"Check if the input is a string containing the standalone whole word 'amount'.","^.*\bamount\b.*$"
"Match a string that starts with the word 'day'.","^day.*$"
"Identify a string of two lowercase letters and three digits separated by a slash.","^[a-z]{2}/[0-9]{3}$"
"Find a string made of three uppercase letters followed by four digits.","^[A-Z]{3}[0-9]{4}$"
"Test whether the input is a string of exactly two whitespace characters.","^\s{2}$"
"Search for a string of between one and three whitespace characters.","^\s{1,3}$"
"Identify a string containing the substring 'edge'.","^.*edge.*$"
"Extract a string of between one and three hexadecimal digits.","^[0-9A-Fa-f]{1,3}$"
"Check if the input is a string containing the substring 'address'.","^.*address.*$"
"Validate a string where the substring 'date' is immediately followed by a five-digit id.","^.*date\d{5}.*$"
"Check if the input is a string of three lowercase letters and four digits separated by a underscore.","^[a-z]{3}_[0-9]{4}$"
"Identify a string of exactly twelve letters.","^[A-Za-z]{12}$"
"Match a string that starts with the word 'ticket'.","^ticket.*$"
"Validate a string where the substring 'beta' is immediately followed by a two-digit id.","^.*beta\d{2}.*$"
"Detect a string where the substring 'invoice' is immediately followed by a five-digit id.","^.*invoice\d{5}.*$"
"Detect a string that starts with the word 'day'.","^day.*$"
"Test whether the input is a string of exactly three hexadecimal digits.","^[0-9A-Fa-f]{3}$"
"Find a string containing the standalone whole word 'order'.","^.*\border\b.*$"
"Validate a string where the substring 'minute' is immediately followed by a five-digit id.","^.*minute\d{5}.*$"
"Check if the input is a string of between five and ten alphanumeric characters.","^[A-Za-z0-9]{5,10}$"
"Search for a string that ends with the word 'month'.","^.*month$"
"Capture a string that is exactly the word 'ticket'.","^ticket$"
"Check if the input is a string that is exactly the word 'price'.","^price$"
"Validate a string of exactly three special characters.","^[!@#$%^&*]{3}$"
"Identify a string containing the standalone whole word 'invoice'.","^.*\binvoice\b.*$"
"Extract a string where one or more digits come immediately before the word 'date'.","^.*\d+date.*$"
"Match a string of between two and four lowercase letters.","^[a-z]{2,4}$"
"Match a string where the substring 'gamma' is immediately followed by a six-digit id.","^.*gamma\d{6}.*$"
"Extract a string containing the standalone whole word 'city'.","^.*\bcity\b.*$"
"Identify a string that ends with the word 'temp'.","^.*temp$"
"Match a string where the substring 'month' is immediately followed by a four-digit id.","^.*month\d{4}.*$"
"Find a string made of three letters followed by two digits.","^[A-Za-z]{3}[0-9]{2}$"
"Capture a string of three lowercase letters and three digits separated by a slash.","^[a-z]{3}/[0-9]{3}$"
"Test whether the input is a string containing the standalone whole word 'temp'.","^.*\btemp\b.*$"
"Match a string where the word 'token' is followed by one or more digits.","^.*token\d+.*$"
"Match a string that is exactly the word 'address'.","^address$"
"Validate a string containing the substring 'hour'.","^.*hour.*$"
"Validate a string where the substring 'item' is immediately followed by a two-digit id.","^.*item\d{2}.*$"
"Match a string where the word 'time' is followed by one or more digits.","^.*time\d+.*$"
"Detect a string of at least five digits.","^[0-9]{5,}$"
"Search for a string that ends with the word 'amount'.","^.*amount$"
"Validate a string where the word 'data' is followed by one or more digits.","^.*data\d+.*$"
"Identify a string containing the standalone whole word 'task'.","^.*\btask\b.*$"
"Test whether the input is a string of between two and six hexadecimal digits.","^[0-9A-Fa-f]{2,6}$"
"Identify a string where the substring 'temp' is immediately followed by a three-digit id.","^.*temp\d{3}.*$"
"Capture a string made of two uppercase letters followed by three digits.","^[A-Z]{2}[0-9]{3}$"
"Extract a string where the substring 'report' is immediately followed by a three-digit id.","^.*report\d{3}.*$"
"Check if the input is a string containing the substring 'minute'.","^.*minute.*$"
"Extract a string where the substring 'task' is immediately followed by a three-digit id.","^.*task\d{3}.*$"
"Find a string of two letters and four digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{4}$"
"Find a string containing the substring 'account'.","^.*account.*$"
"Find a string containing the substring 'graph'.","^.*graph.*$"
"Validate a string where one or more digits come immediately before the word 'task'.","^.*\d+task.*$"
"Test whether the input is a string of at least one lowercase letter.","^[a-z]{1,}$"
"Search for a string of word characters that does not start with the word 'Error', using a negative lookahead.","^(?!Error)\w+$"
"Check if the input is a string of two lowercase letters and four digits separated by a hyphen.","^[a-z]{2}-[0-9]{4}$"
"Test whether the input is a string of four lowercase letters and four digits separated by a colon.","^[a-z]{4}:[0-9]{4}$"
"a 12-hour time with an AM or PM suffix","^(0?[1-9]|1[0-2]):[0-5][0-9]\s?(AM|PM)$"
"Test whether the input is a string that starts with the word 'phone'.","^phone.*$"
"Extract a string containing the substring 'status'.","^.*status.*$"
"Extract a string containing the substring 'batch'.","^.*batch.*$"
"Identify a string of three letters and two digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{2}$"
"Identify a string that is exactly the word 'alpha'.","^alpha$"
"Test whether the input is a string of two lowercase letters and two digits separated by a slash.","^[a-z]{2}/[0-9]{2}$"
"Capture a string where the word 'beta' is followed by one or more digits.","^.*beta\d+.*$"
"Search for a string of at least one whitespace character.","^\s{1,}$"
"Find a string made of four uppercase letters followed by four lowercase letters.","^[A-Z]{4}[a-z]{4}$"
"Extract a string of between three and five letters.","^[A-Za-z]{3,5}$"
"Capture a string where the substring 'session' is immediately followed by a four-digit id.","^.*session\d{4}.*$"
"Capture a string made of four uppercase letters followed by two digits.","^[A-Z]{4}[0-9]{2}$"
"Match a string where the substring 'token' is immediately followed by a four-digit id.","^.*token\d{4}.*$"
"Match a string where the substring 'gamma' is immediately followed by a four-digit id.","^.*gamma\d{4}.*$"
"Detect a string of four uppercase letters and two digits separated by a dot.","^[A-Z]{4}\.[0-9]{2}$"
"Validate a string of between four and eight lowercase letters.","^[a-z]{4,8}$"
"Find a string where the substring 'session' is immediately followed by a four-digit id.","^.*session\d{4}.*$"
"Search for a string where the word 'test' is followed by one or more digits.","^.*test\d+.*$"
"Find a string containing the same character repeated four times in a row.","^.*(\w)\1{3}.*$"
"Capture a string of at least two letters.","^[A-Za-z]{2,}$"
"Validate a string containing the standalone whole word 'email'.","^.*\bemail\b.*$"
"Match a string where the substring 'day' is immediately followed by a three-digit id.","^.*day\d{3}.*$"
"Identify a string containing the standalone whole word 'batch'.","^.*\bbatch\b.*$"
"Validate a string where the substring 'test' is immediately followed by a six-digit id.","^.*test\d{6}.*$"
"Search for a string made of one uppercase letter followed by four lowercase letters.","^[A-Z]{1}[a-z]{4}$"
"Test whether the input is a string of four letters and four digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{4}$"
"Match a string that ends with the word 'login'.","^.*login$"
"Extract a string where the substring 'account' is immediately followed by a four-digit id.","^.*account\d{4}.*$"
"Capture a string of four lowercase letters and three digits separated by a dot.","^[a-z]{4}\.[0-9]{3}$"
"Check if the input is a string made of three letters followed by one digit.","^[A-Za-z]{3}[0-9]{1}$"
"Find a string of four lowercase letters and four digits separated by a underscore.","^[a-z]{4}_[0-9]{4}$"
"Find a string containing the substring 'phone'.","^.*phone.*$"
"Find a string containing the substring 'level'.","^.*level.*$"
"Validate a string where one or more digits come immediately before the word 'day'.","^.*\d+day.*$"
"Detect a string where the substring 'report' is immediately followed by a three-digit id.","^.*report\d{3}.*$"
"Detect a string where the substring 'node' is immediately followed by a five-digit id.","^.*node\d{5}.*$"
"Extract a string of four lowercase letters and four digits separated by a colon.","^[a-z]{4}:[0-9]{4}$"
"Detect a string where the word 'date' is followed by one or more digits.","^.*date\d+.*$"
"Identify a string where the substring 'config' is immediately followed by a four-digit id.","^.*config\d{4}.*$"
"Extract a string of exactly three lowercase letters.","^[a-z]{3}$"
"Search for a string that starts with the word 'graph'.","^graph.*$"
"Find a string that starts with the word 'session'.","^session.*$"
"Detect a string where the substring 'ticket' is immediately followed by a three-digit id.","^.*ticket\d{3}.*$"
"Extract a string that starts with the word 'user'.","^user.*$"
"Search for a string where the substring 'report' is immediately followed by a three-digit id.","^.*report\d{3}.*$"
"Check if the input is a string of two letters and three digits separated by a slash.","^[A-Za-z]{2}/[0-9]{3}$"
"Search for a string where the word 'batch' is followed by one or more digits.","^.*batch\d+.*$"
"Validate a string where the substring 'status' is immediately followed by a four-digit id.","^.*status\d{4}.*$"
"Detect a string where the substring 'order' is immediately followed by a five-digit id.","^.*order\d{5}.*$"
"Find a string of three uppercase letters and four digits separated by a slash.","^[A-Z]{3}/[0-9]{4}$"
"Check if the input is a string of word characters that does not start with the word 'Order', using a negative lookahead.","^(?!Order)\w+$"
"Test whether the input is a string containing the standalone whole word 'cache'.","^.*\bcache\b.*$"
"Capture a string made of one uppercase letter followed by one lowercase letter.","^[A-Z]{1}[a-z]{1}$"
"Check if the input is a string where the substring 'queue' is immediately followed by a four-digit id.","^.*queue\d{4}.*$"
"Validate a string where one or more digits come immediately before the word 'order'.","^.*\d+order.*$"
"Capture a string of at least two word characters.","^\w{2,}$"
"Test whether the input is a string that is exactly the word 'hour'.","^hour$"
"Identify a string where the substring 'cache' is immediately followed by a six-digit id.","^.*cache\d{6}.*$"
"Validate a string where the substring 'flag' is immediately followed by a five-digit id.","^.*flag\d{5}.*$"
"Identify a string of between one and three letters.","^[A-Za-z]{1,3}$"
"Find a string that is exactly the word 'config'.","^config$"
"Match a string that is exactly the word 'data'.","^data$"
"Detect a string that is exactly the word 'gamma'.","^gamma$"
"Identify a string made of four letters followed by four digits.","^[A-Za-z]{4}[0-9]{4}$"
"Identify a string where the word 'job' is followed by one or more digits.","^.*job\d+.*$"
"Validate a string where the substring 'state' is immediately followed by a six-digit id.","^.*state\d{6}.*$"
"Find a string containing the same letter repeated four times in a row.","^.*([A-Za-z])\1{3}.*$"
"Search for a string that starts with the word 'state'.","^state.*$"
"Identify a string made of three letters followed by four digits.","^[A-Za-z]{3}[0-9]{4}$"
"Test whether the input is a string where the word 'time' is followed by one or more digits.","^.*time\d+.*$"
"Extract a string where the substring 'minute' is immediately followed by a four-digit id.","^.*minute\d{4}.*$"
"Find a string where the word 'report' is followed by one or more digits.","^.*report\d+.*$"
"Detect a string where the substring 'node' is immediately followed by a two-digit id.","^.*node\d{2}.*$"
"Identify a string that ends with the word 'beta'.","^.*beta$"
"Validate a string that ends with the word 'token'.","^.*token$"
"Validate a string of two letters and three digits separated by a hyphen.","^[A-Za-z]{2}-[0-9]{3}$"
"Extract a string that is exactly the word 'login'.","^login$"
"Capture a string where the substring 'node' is immediately followed by a four-digit id.","^.*node\d{4}.*$"
"Check if the input is a string that ends with the word 'batch'.","^.*batch$"
"Extract a string made of three uppercase letters followed by one digit.","^[A-Z]{3}[0-9]{1}$"
"Validate a string where the substring 'status' is immediately followed by a five-digit id.","^.*status\d{5}.*$"
"Capture a string that ends with the word 'order'.","^.*order$"
"Check if the input is a string containing the substring 'cache'.","^.*cache.*$"
"Capture a string that starts with the word 'alpha'.","^alpha.*$"
"Validate a string where the substring 'item' is immediately followed by a three-digit id.","^.*item\d{3}.*$"
"Test whether the input is a string of three letters and three digits separated by a colon.","^[A-Za-z]{3}:[0-9]{3}$"
"Find a string where the substring 'city' is immediately followed by a four-digit id.","^.*city\d{4}.*$"
"Find a string of between three and five lowercase letters.","^[a-z]{3,5}$"
"Capture a string where the substring 'city' is immediately followed by a three-digit id.","^.*city\d{3}.*$"
"Search for a string containing the standalone whole word 'error'.","^.*\berror\b.*$"
"Check if the input is a string where the substring 'email' is immediately followed by a five-digit id.","^.*email\d{5}.*$"
"Match a non-empty string that contains at least one digit somewhere, using a lookahead.","^(?=.*\d).+$"
"Validate a string where the word 'order' is followed by one or more digits.","^.*order\d+.*$"
"Match a string of three uppercase letters and four digits separated by a colon.","^[A-Z]{3}:[0-9]{4}$"
"Validate a string of exactly twelve word characters.","^\w{12}$"
"Identify a string where the substring 'order' is immediately followed by a two-digit id.","^.*order\d{2}.*$"
"Extract a string where the substring 'profile' is immediately followed by a two-digit id.","^.*profile\d{2}.*$"
"Extract a string made of four lowercase letters followed by three digits.","^[a-z]{4}[0-9]{3}$"
"Search for a string containing the standalone whole word 'edge'.","^.*\bedge\b.*$"
"Identify a string of between five and ten whitespace characters.","^\s{5,10}$"
"Capture a string of four uppercase letters and two digits separated by a colon.","^[A-Z]{4}:[0-9]{2}$"
"Validate a string made of four uppercase letters followed by one lowercase letter.","^[A-Z]{4}[a-z]{1}$"
"Detect a string of four lowercase letters and two digits separated by a slash.","^[a-z]{4}/[0-9]{2}$"
"Validate a string made of two letters followed by three digits.","^[A-Za-z]{2}[0-9]{3}$"
"Test whether the input is a string of exactly one whitespace character.","^\s{1}$"
"Detect a string where the substring 'item' is immediately followed by a five-digit id.","^.*item\d{5}.*$"
"Check if the input is a string containing the standalone whole word 'code'.","^.*\bcode\b.*$"
"Identify a string of four letters and three digits separated by a slash.","^[A-Za-z]{4}/[0-9]{3}$"
"Validate a string of exactly seven digits.","^[0-9]{7}$"
"Extract a string of between five and ten digits.","^[0-9]{5,10}$"
"Identify a string made of one uppercase letter followed by four digits.","^[A-Z]{1}[0-9]{4}$"
"Match a string that starts with the word 'data'.","^data.*$"
"Match a string where the substring 'country' is immediately followed by a two-digit id.","^.*country\d{2}.*$"
"Check if the input is a string of at least one hexadecimal digit.","^[0-9A-Fa-f]{1,}$"
"Detect a string that starts with the word 'login'.","^login.*$"
"Search for a string where the substring 'time' is immediately followed by a two-digit id.","^.*time\d{2}.*$"
"Validate a string where the substring 'graph' is immediately followed by a five-digit id.","^.*graph\d{5}.*$"
"Detect a string where the substring 'cache' is immediately followed by a four-digit id.","^.*cache\d{4}.*$"
"Search for a string that starts with the word 'item'.","^item.*$"
"Identify a string containing the same letter repeated five times in a row.","^.*([A-Za-z])\1{4}.*$"
"Identify a string where one or more digits come immediately before the word 'graph'.","^.*\d+graph.*$"
"Validate a string that is exactly the word 'invoice'.","^invoice$"
"Check if the input is a string made of one lowercase letter followed by one digit.","^[a-z]{1}[0-9]{1}$"
"Validate a string where the word 'alpha' is followed by one or more digits.","^.*alpha\d+.*$"
"Identify a string where the word 'session' is followed by one or more digits.","^.*session\d+.*$"
"Identify a string where the substring 'gamma' is immediately followed by a two-digit id.","^.*gamma\d{2}.*$"
"Identify a run of letters that is not immediately followed by a digit, using a negative lookahead.","[A-Za-z]+(?!\d)"
